COUNTRY,PC_HEALTHXP_growth,PC_GDP_growth,USD_CAP_growth,PC_HEALTHXP_avg,PC_GDP_avg,USD_CAP_avg,PC_HEALTHXP_volatility,PC_GDP_volatility,USD_CAP_volatility,Cluster_k3,Cluster_Name
AUS,-2.706263713888324,-0.2490014611895352,1.734883411682242,13.1034,1.2641,611.4605,1.357887836965107,0.0402808198084949,34.19402649992796,1,Stable Moderate Markets
AUT,-0.1454843736643507,1.2766247049524448,3.2357836385544125,12.0644,1.2571,615.2524000000001,0.1567306252424482,0.0461433755929396,55.77253633823731,1,Stable Moderate Markets
BEL,-2.16390245164404,-1.3206076910907805,1.2275615954914445,12.0686,1.2934,582.9294,0.7822313099219579,0.0605038107156161,27.40852451823459,1,Stable Moderate Markets
CAN,-2.514451213776847,-0.011966017655407,1.1503801005199987,16.4811,1.7931,799.7810000000001,1.008083269267859,0.0528298106081111,43.787058587872494,1,Stable Moderate Markets
CHE,0.5537329576729588,2.304421815309654,3.902979554769126,10.4399,1.1219,649.7470999999999,0.2296550311517972,0.0733855117399431,71.14741500957327,1,Stable Moderate Markets
CRI,-6.418785127795445,-6.784737373191985,-3.044643570801553,12.0081,0.9121,163.3874,3.010122420913953,0.2510623871116944,29.89297408422254,0,Declining Markets
CYP,-1.341332416547092,1.632756902737076,3.529215495590265,16.8244,1.1594,391.0614,1.4895384967611056,0.0800641409537794,58.28967733312646,1,Stable Moderate Markets
CZE,-2.737906617167185,-0.5765634356250104,3.220690029039197,17.6841,1.3542,489.1412,1.5667827226517408,0.1063284220391394,42.42604429357044,1,Stable Moderate Markets
DEU,-0.5103617432712926,1.3140520309586234,4.235138615898837,14.1351,1.6008,790.7067999999999,0.2720741116354548,0.058575307653197,102.02328328463942,2,High-Value Pharma Markets
DNK,-1.7847958418322096,-1.6027613111409322,1.423713176576591,6.7874,0.6992,330.5741,0.3868640875323297,0.046367613218232,20.13592383693053,1,Stable Moderate Markets
ESP,-0.8788459515025049,0.8881445538503563,2.5596178231857447,15.563,1.4367,484.8308,0.5134002120936234,0.0799319849761171,43.20295360221979,1,Stable Moderate Markets
EST,-2.285612009388016,0.1433505862593831,4.707095187762356,17.774,1.1662,358.06530000000004,1.1491037086935771,0.0268940307296784,50.43027774627727,1,Stable Moderate Markets
FIN,-0.151584065781174,0.3242645379859077,2.6466820824222914,12.2447,1.1554,501.1058,0.2249973086258788,0.0244185721668296,40.05161467906132,1,Stable Moderate Markets
FRA,-1.0255308595642276,-0.1267525259097457,1.992188720495536,14.2454,1.6257,681.2639,0.5231454439785899,0.0660842055427938,37.27462966043016,1,Stable Moderate Markets
GRC,-0.2840227382311489,0.085536964478039,0.6327637200133518,28.5476,2.4333,637.8403999999999,1.2391834408189943,0.2476014045912413,59.4031443952628,2,High-Value Pharma Markets
HRV,-3.907178221536322,-3.53496084303242,0.0262038576610335,23.3302,1.6251000000000002,389.6939,3.779147987458432,0.3366532835623815,53.684000135463485,0,Declining Markets
HUN,-3.389302178556053,-3.673645825549909,0.1267301817071908,29.487,2.0675,577.0771000000001,2.7963480152195324,0.2854981027374206,24.22328153037899,0,Declining Markets
IRL,-2.316122798911069,-6.56079402594445,0.4369095431986158,12.7471,1.0782,580.8226999999999,0.9320069682619808,0.2884594329267886,24.29404563102289,0,Declining Markets
ISL,-3.415730715531917,-1.6882570138959552,0.250750857135773,12.5937,1.0525,482.1738,1.7484604688442666,0.1338259649279199,27.910431322754988,1,Stable Moderate Markets
ISR,1.7503511070621205,3.11320653395164,5.467688752445343,13.394,0.9554,330.1631,0.8473516913825624,0.0917934880285331,52.1863339144774,1,Stable Moderate Markets
ITA,-0.5443713135351858,0.4822927996395831,1.5970716093094417,17.6182,1.5577,578.4642,0.5839398370836955,0.0688122243661853,55.286289320630274,1,Stable Moderate Markets
JPN,-0.4882800622813765,0.0447452915470325,1.8719921514608997,18.8623,2.0249,817.9544,0.8369258629054306,0.1022724574631681,68.15158105804379,2,High-Value Pharma Markets
KOR,-2.234214542422852,1.57948317818275,4.709849207952543,21.5209,1.4741,554.6780000000001,1.6793692235148543,0.0958197961453338,84.63988156891527,2,High-Value Pharma Markets
LTU,-2.0427713075823477,-0.4760390938969183,5.43434702660528,25.5188,1.6684,517.9147,2.745684727389914,0.1206152745071884,71.12269774450034,2,High-Value Pharma Markets
LUX,2.2089082231374846,1.8007231352250352,4.009087526161603,11.2699,0.6006,556.1423,1.0174468536488774,0.0364971840618484,48.91775668530008,1,Stable Moderate Markets
LVA,-1.4447103140216466,1.157218468818444,6.839111709312218,26.1257,1.5565,403.3088,1.7104712833342486,0.1129564812955267,86.694987660828,2,High-Value Pharma Markets
MEX,-0.5412331312833585,0.7940515550104665,2.7884475000628184,22.6227,1.2737,239.7192,0.5092947302125,0.0440808600440397,17.444064828282798,1,Stable Moderate Markets
NLD,-3.329721920009454,-2.347272326566674,-0.0035944492636663,7.728700000000001,0.8032,398.1143,0.6567676825856232,0.0644477393793693,19.40065733737447,1,Stable Moderate Markets
NOR,-1.1885866620426122,1.6231581128924866,1.9535629393764296,7.5172,0.7358,440.6374,0.2895555214462333,0.0508391799916385,29.26810091474258,1,Stable Moderate Markets
POL,-2.217356561073025,-1.8599555375315655,2.4952031110749173,21.233,1.3619,398.2795,1.3117062679324702,0.070645358422664,38.00835499158924,1,Stable Moderate Markets
PRT,-1.7390198831130022,-0.8514769046568116,1.719139951869808,15.8773,1.5191,441.9517,1.111212555924582,0.1324256185352533,37.90229232308314,1,Stable Moderate Markets
ROU,-4.759282560785172,-1.1986369295327148,5.269297905988979,31.5094,1.6143999999999998,393.2869,5.825136740407427,0.2082830339279274,60.31480953473291,2,High-Value Pharma Markets
SVK,-2.102396174974952,-2.357442149701084,-1.297866058539665,26.2351,1.8483,538.9135,1.3987814101328808,0.1417298290567106,23.82387589629832,0,Declining Markets
SVN,-1.37872287848948,-0.2759782235422059,2.8704696613974567,18.5829,1.5956,511.7111,1.0282780049945444,0.1033453756423899,45.05520778987583,1,Stable Moderate Markets
SWE,-0.892518822937094,0.0406711175408469,1.913582943736336,10.023,1.0876,506.6025,0.2827660988638248,0.0220161556842041,27.936901781813003,1,Stable Moderate Markets
USA,-1.309333333590612,0.3495641970552521,3.04323505285784,12.0568,2.0055,1156.1203,0.4780740993239887,0.0581898234707371,111.95974384478048,2,High-Value Pharma Markets
